FeatureResult,Distraction,Attention,BodySpeed,EyesOffScreen,PressesCount,EYEScan,EYEDwell,SingleFastPresses,EEGAB,Targets
0.166685865,0.334197916,0.4438959,0.365309735,0,0,0.174867688,0.058984016,0.543227414,0.286661077,correct
0.052371815,0.18376317,0.218229695,0.200870418,0,0,0.150455389,0.024774157,0,0.54432668,correct
0.129408941,0.91483441,1,1,0,0,0.433197574,0.068722406,1,0.899015283,correct
-0.772627594,0.892033277,0.38355771,0.975076219,0,0,0.304227065,0.0162396,0,0.944216118,correct
0.351775073,0.352807658,0.584315089,0.385651932,0,0,0.094210762,0.013730018,0.597621533,0.781132233,correct
0.587133064,0.237217694,0.704947296,0.279702319,0,0,0.249969284,0.040445096,0.807546041,0.677287939,correct
-0.098875769,0.614073005,0.535305299,0.228085757,0,0.495964968,0.432485731,0.048466263,0,1,mistake
0.736488276,0.198068738,0.784779639,0.233541961,0,0,0.252417416,0.057891619,0.768412681,1,mistake
-0.017179563,0.181793996,0.168108188,0.214352485,0,0,0.243170228,0.031256829,0,0.299975529,correct
0.157463083,0.057192121,0.182632416,0.067434973,0,0,0.210411157,0.018739083,0,0.394879641,correct
0.574868648,0.368682418,0.826641782,0.140080716,0.29463107,0,0.225496956,0.037117954,1,0.561906513,correct
